Symbol,Last,1M Chg,5D Chg,Earnings ttm,P/E ttm,5Y Return,5Y Rev%,Industry,Sector,Market Cap,Billions,Dividend(a),52W Low,52W Low Date,52W High,Low,High,Fair Value,Verdict,Delta,Potential Profit
INFO,61.58,-9.63,2.53,2.23,27.19,128.41%,112.26%,Business Information,Business Services,26171008000.00,26.17,0.68,44.81,3/23/2020,81.65,27.23286781,24.58052664,60.6337,Overvalued,-0.95,-1.56
WEC,85.25,-12.33,-3.82,3.58,24.58,71.70%,50.55%,Utility - Electric Power,Utilities,26890834000.00,26.89,2.53,68.01,3/23/2020,109.53,20.2228739,22.16744271,87.9964,Undervalued,2.75,3.12
INTU,218.39,-49.85,-11.3,5.89,38.24,120.84%,50.55%,Computer - Software,Computers and Technology,56888196000.00,56.89,2.12,187.68,3/23/2020,306.89,14.06199918,28.83769429,225.2336,Undervalued,6.84,3.04
CNC,54.6,0.57,-0.5,4.42,12.75,55.62%,350.72%,Medical - HMO,Medical,32039878000.00,32.04,0,41.62,10/1/2019,68.64,23.77289377,20.45454545,56.355,Undervalued,1.76,3.11
FTV,54.28,-15.1,4.63,3.49,16.05,0.00%,15.51%,Electronic Test Equipment,Computers and Technology,18260606000.00,18.26,0.28,37.31,3/18/2020,89.48,31.26381724,39.33839964,56.0145,Undervalued,1.73,3.10
IPGP,102.74,-25.01,-6.29,4.43,23.23,4.28%,70.76%,Lasers - Systems & Components,Computers and Technology,5451281000.00,5.45,0,98.04,3/16/2020,182.17,4.574654468,43.60212988,102.9089,Undervalued,0.17,0.16
IQV,102.72,-38.64,-4.42,5.81,18.03,51.89%,103.08%,Technology Services,Business Services,19757062000.00,19.76,0,81.79,3/18/2020,169.14,20.37577882,39.26924441,104.7543,Undervalued,2.03,1.94
IR,23.49,-8.21,0.86,0.76,30.32,0.00%,-4.60%,Machinery - General Industrial,Industrial Products,4820430000.00,4.82,0,17.01,3/18/2020,38.96,27.5862069,39.7073922,23.0432,Overvalued,-0.45,-1.94
IRM,22.06,-9.35,-2.31,0.85,9.4,-40.65%,36.72%,REIT - Equity Trust Other,Finance,6338786000.00,6.34,2.47,21,4/2/2020,36.65,4.805077063,39.80900409,7.99,Overvalued,-14.07,-176.10
ISRG,462.47,-95.8,-27.94,11.55,40.5,161.60%,110.09%,Medical Instruments,Medical,53993372000.00,53.99,0,360.5,3/23/2020,619,22.04899777,25.28756058,467.775,Undervalued,5.31,1.13
ABC,81.34,-4.53,-0.44,7.24,11.59,-29.48%,50.20%,Medical - Dental Suppliers,Medical,16747174000.00,16.75,1.68,70.55,4/22/2019,97.5,13.26530612,16.57435897,83.9116,Undervalued,2.57,3.06
ITW,140.41,-28.45,-2.89,7.73,18.32,43.95%,-2.59%,Machinery - General Industrial,Industrial Products,44582704000.00,44.58,4.28,115.94,3/23/2020,190.85,17.42753365,26.42913283,141.6136,Undervalued,1.20,0.85
LUV,30.54,-14.67,-5.84,4.28,7.36,-28.68%,20.55%,Transportation - Airline,Transportation,15798221000.00,15.80,0.72,29.15,3/18/2020,58.83,4.55140799,48.08771035,31.5008,Undervalued,0.96,3.05
CDNS,63.93,-2.3,1.65,3.53,18.68,235.41%,47.78%,Computer - Software,Computers and Technology,17911140000.00,17.91,0,51.39,3/18/2020,80.4,19.61520413,20.48507463,65.9404,Undervalued,2.01,3.05
SBUX,63.05,-15.55,-3.29,2.87,22.65,30.89%,61.17%,Retail - Restaurants,Retail-Wholesale,74001784000.00,74.00,1.64,50.02,3/18/2020,99.72,20.66613799,36.7729643,65.0055,Undervalued,1.96,3.01
CBOE,89.62,-27.59,-1.27,4.74,19.49,56.60%,304.40%,Securities Exchanges,Finance,9897184000.00,9.90,1.44,72.01,3/19/2020,127.93,19.64963178,29.94606425,92.3826,Undervalued,2.76,2.99
JKHY,156.21,-1.58,7.18,3.66,41.3,129.62%,28.32%,Electronic Misc Services,Computers and Technology,11984432000.00,11.98,1.72,123.64,3/23/2020,174.93,20.85013764,10.70142343,151.158,Overvalued,-5.05,-3.34
JNJ,134.17,-1.42,11.01,8.68,15.34,31.46%,10.40%,Large Cap Pharma,Medical,353719360000.00,353.72,3.8,109.16,3/23/2020,154.5,18.64053067,13.15857605,133.1512,Overvalued,-1.02,-0.77
JNPR,20.11,-1.68,0.17,1.24,15.85,-15.40%,-3.93%,Wireless Equipment,Computers and Technology,6646899000.00,6.65,0.8,15.2,3/16/2020,28.77,24.41571358,30.10079944,19.654,Overvalued,-0.46,-2.32
XOM,39.21,-12.09,2.26,2.37,17.05,-54.17%,-35.69%,Oil - International Integrated,Oils-Energy,165944208000.00,165.94,3.48,30.11,3/23/2020,83.49,23.20836521,53.03629177,40.4085,Undervalued,1.20,2.97
TMUS,81.98,-7.39,0.26,4.49,18.8,155.71%,52.21%,Wireless National,Utilities,70251368000.00,70.25,0,63.5,3/18/2020,101.35,22.54208343,19.11198816,84.412,Undervalued,2.43,2.88
K,63.58,0.93,4.11,3.94,15.56,-3.27%,-6.87%,Food - Misc & Diversified,Consumer Staples,21776086000.00,21.78,2.28,51.34,5/31/2019,71.05,19.2513369,10.51372273,61.3064,Overvalued,-2.27,-3.71
FISV,86.19,-23.18,-7.76,3.81,23.29,118.04%,101.09%,Financial Transaction Services,Business Services,58531544000.00,58.53,0,73.5,3/19/2020,125.05,14.72328576,31.07556977,88.7349,Undervalued,2.54,2.87
ZION,24.68,-14.22,-2.9,4.34,5.85,-9.70%,37.41%,Banks - West,Finance,4047841000.00,4.05,1.36,23.58,3/23/2020,52.48,4.457050243,52.97256098,25.389,Undervalued,0.71,2.79
KHC,25.32,-0.18,1.08,2.19,0,-71.64%,37.20%,Food - Misc & Diversified,Consumer Staples,30925848000.00,30.93,1.6,19.99,3/16/2020,33.78,21.05055292,25.04440497,0,Overvalued,-25.32,#DIV/0!
KIM,7.77,-9.99,-2.63,0.8,5.27,-70.01%,16.60%,REIT - Equity Trust Retail,Finance,3360595000.00,3.36,1.12,7.45,4/2/2020,21.86,4.118404118,64.45562672,4.216,Overvalued,-3.55,-84.30
KLAC,127.94,-25.87,-14.3,8.72,15.19,116.41%,55.97%,Electronics Products - Misc,Computers and Technology,20057410000.00,20.06,3.4,101.34,6/3/2019,184.5,20.79099578,30.65582656,132.4568,Undervalued,4.52,3.41
KMB,129.92,-10.87,5.03,6.88,18.79,21.58%,-6.46%,Consumer Prdts - Misc Staple,Consumer Staples,44362480000.00,44.36,4.28,110.66,3/24/2020,149.23,14.82450739,12.93975742,129.2752,Overvalued,-0.64,-0.50
COP,32.91,-15.21,3.66,3.59,9.43,-50.53%,-33.95%,Oil - US Integrated,Oils-Energy,35580052000.00,35.58,1.68,20.84,3/18/2020,68.22,36.67578244,51.75901495,33.8537,Undervalued,0.94,2.79
VLO,40.34,-24.1,-4.7,5.46,7.6,-32.46%,-17.21%,Oil - Refining and Marketing,Oils-Energy,16512655000.00,16.51,3.92,31,3/18/2020,101.99,23.15319782,60.44710266,41.496,Undervalued,1.16,2.79
BEN,15.61,-7.78,-1.74,2.68,5.99,-69.82%,-32.00%,Finance - Investment Mgmt,Finance,7756578000.00,7.76,1.08,15.29,3/23/2020,35.82,2.049967969,56.42099386,16.0532,Undervalued,0.44,2.76
KR,32.29,2.95,3.16,2.2,14.36,-16.21%,12.74%,Retail - Supermarket,Retail-Wholesale,25850954000.00,25.85,0.64,20.7,7/23/2019,36.84,35.89346547,12.35070575,31.592,Overvalued,-0.70,-2.21
J,78.97,-18.63,4.09,5.27,15.4,69.46%,0.34%,Engineering & R&D Services,Industrial Products,10506959000.00,10.51,0.76,59.29,3/23/2020,104,24.92085602,24.06730769,81.158,Undervalued,2.19,2.70
KSU,123,-29.27,-4.96,6.94,17.44,15.68%,11.21%,Transportation - Rail,Transportation,11826573000.00,11.83,1.6,92.86,3/18/2020,178.59,24.50406504,31.12716278,121.0336,Overvalued,-1.97,-1.62
CFG,16.94,-14.21,-3.02,3.86,4.51,-32.54%,50.99%,Finance - Savings & Loan,Finance,7240732000.00,7.24,1.56,14.12,3/18/2020,41.29,16.64698937,58.97311698,17.4086,Undervalued,0.47,2.69
LB,11.34,-10.74,-1.25,2.28,4.45,-88.02%,12.75%,Retail - Apparel & Shoes,Retail-Wholesale,3135884000.00,3.14,1.2,8,3/17/2020,28.06,29.45326279,59.58660014,10.146,Overvalued,-1.19,-11.77
VIAC,12.43,-10.65,-0.36,4.45,2.87,-79.82%,101.45%,Movie & TV Production & Dist,Consumer Discretionary,7628776000.00,7.63,0.96,10.1,3/18/2020,53.71,18.74497184,76.85719605,12.7715,Undervalued,0.34,2.67
F,4.24,-2.73,-0.95,1.22,3.57,-73.55%,8.21%,Auto - Domestic,Auto-Tires-Trucks,16811302000.00,16.81,0,3.96,3/23/2020,10.56,6.603773585,59.84848485,4.3554,Undervalued,0.12,2.65
FRC,81.78,-19.98,-0.56,5.2,16.15,43.47%,130.75%,Banks - West,Finance,13775841000.00,13.78,0.76,70.06,3/23/2020,122.34,14.33113231,33.15350662,83.98,Undervalued,2.20,2.62
LH,113.31,-67.73,-15.4,11.31,10.26,-10.12%,92.21%,Medical - Dental Suppliers,Medical,11025063000.00,11.03,0,98.02,3/19/2020,196.36,13.49395464,42.29476472,116.0406,Undervalued,2.73,2.35
LHX,178.5,-20.18,-6.5,9.98,18.39,120.37%,152.92%,Aerospace - Defense,Aerospace,38715936000.00,38.72,3.4,142.01,3/23/2020,230.99,20.44257703,22.72392744,183.5322,Undervalued,5.03,2.74
LIN,162.13,-33.26,-5.21,7.35,22.33,0.00%,130.00%,Oil - Field Services,Oils-Energy,88346256000.00,88.35,0,146.71,3/16/2020,227.85,9.510886326,28.84353741,164.1255,Undervalued,2.00,1.22
BAC,20.03,-7.72,-1.57,2.93,7.02,27.42%,19.34%,Banks - Major Regional,Finance,174757184000.00,174.76,0.72,17.95,3/23/2020,35.72,10.38442336,43.924972,20.5686,Undervalued,0.54,2.62
LLY,139.66,9.35,5.55,6.04,23.54,88.93%,13.78%,Large Cap Pharma,Medical,133659936000.00,133.66,2.96,101.36,10/23/2019,147.87,27.42374338,5.552174207,142.1816,Undervalued,2.52,1.77
LMT,350.5,-26.9,2.12,21.94,16.13,74.90%,31.17%,Aerospace - Defense,Aerospace,98740408000.00,98.74,9.6,266.11,3/23/2020,442.53,24.07703281,20.79633019,353.8922,Undervalued,3.39,0.96
GRMN,71.56,-18.51,-1.97,4.45,16.51,53.36%,30.89%,Electronics Products - Misc,Computers and Technology,13645561000.00,13.65,2.28,61.04,3/23/2020,105.58,14.70095025,32.22201174,73.4695,Undervalued,1.91,2.60
CINF,71.03,-28.74,-4.92,4.21,17.32,32.72%,60.24%,Insurance - Proprty & Casualty,Finance,11524333000.00,11.52,2.4,65.69,3/23/2020,118.19,7.517950162,39.90185295,72.9172,Undervalued,1.89,2.59
A,70.42,-9.9,-0.49,3.17,22.8,61.70%,-26.04%,Electronic Test Equipment,Computers and Technology,21805622000.00,21.81,0.72,61.13,3/16/2020,90.64,13.19227492,22.30803177,72.276,Undervalued,1.86,2.57
LRCX,218.15,-73.31,-23.07,14.51,15.2,198.43%,109.53%,Semi-Eqpt Wafer Fabrication,Computers and Technology,31751296000.00,31.75,4.6,171.04,6/3/2019,344.32,21.59523264,36.64323885,220.552,Undervalued,2.40,1.09
UAL,22.89,-35.4,-9.95,12.1,1.94,-62.51%,11.20%,Transportation - Airline,Transportation,5674359000.00,5.67,0,17.8,3/18/2020,96.03,22.23678462,76.16369884,23.474,Undervalued,0.58,2.49
GE,6.73,-4.15,-0.89,0.67,10.3,-76.39%,-35.92%,Conglomerates - Div Operations,Conglomerates,58829068000.00,58.83,0.04,5.9,3/18/2020,13.26,12.33283804,49.24585219,6.901,Undervalued,0.17,2.48
HCA,81.83,-46.94,-5.5,10.5,7.99,4.59%,39.05%,Medical - Hospitals,Medical,27696918000.00,27.70,1.72,58.38,3/18/2020,151.97,28.65697177,46.15384615,83.895,Undervalued,2.07,2.46
LYB,46.1,-26.14,-3.3,9.58,4.79,-49.57%,-23.86%,Chemical - Diversified,Basic Materials,15376885000.00,15.38,4.2,33.71,3/16/2020,98.91,26.87635575,53.3919725,45.8882,Overvalued,-0.21,-0.46
LYV,33.57,-24.04,-13.58,-0.07,0,30.12%,68.17%,Leisure & Recreation Services,Consumer Discretionary,7201806000.00,7.20,0,21.7,3/18/2020,76.6,35.35895144,56.17493473,0,Overvalued,-33.57,#DIV/0!
M,4.81,-7.84,-0.72,2.91,1.53,-93.05%,-9.87%,Retail - Regional Dept Stores,Retail-Wholesale,1486122000.00,1.49,0,4.38,4/2/2020,26.33,8.93970894,81.73186479,4.4523,Overvalued,-0.36,-8.03
MA,237.03,-54.97,-10.62,7.78,30.7,167.62%,78.22%,Financial Transaction Services,Business Services,238240736000.00,238.24,1.6,199.99,3/23/2020,347.25,15.62671392,31.74082073,238.846,Undervalued,1.82,0.76
MAA,94.31,-42.96,-13.29,2.87,14.82,24.63%,65.88%,REIT - Equity Trust Resident,Finance,10776898000.00,10.78,4,82,3/23/2020,148.88,13.05269855,36.65368082,42.5334,Overvalued,-51.78,-121.73
PAYX,59.55,-19.51,-0.62,3.01,20.28,20.84%,49.77%,Outsourcing,Business Services,21361478000.00,21.36,2.48,47.87,3/18/2020,90.54,19.61376994,34.22796554,61.0428,Undervalued,1.49,2.45
IT,91.82,-34.02,-12.97,3.91,24.07,8.46%,110.01%,Consulting,Business Services,8181253000.00,8.18,0,76.91,3/18/2020,171.77,16.23829231,46.54479828,94.1137,Undervalued,2.29,2.44
MCD,160.33,-39.18,-3.68,7.85,20.57,63.94%,-23.19%,Retail - Restaurants,Retail-Wholesale,119517520000.00,119.52,5,124.23,3/18/2020,221.93,22.51606062,27.7564998,161.4745,Undervalued,1.14,0.71
HFC,22.38,-10.73,-1.87,4.88,4.7,-40.22%,-11.52%,Oil - Refining and Marketing,Oils-Energy,3622964000.00,3.62,1.4,18.48,3/24/2020,58.88,17.42627346,61.99048913,22.936,Undervalued,0.56,2.42
MCK,125.49,-22.31,-0.21,14.41,8.97,-44.06%,55.74%,Medical - Dental Suppliers,Medical,22202944000.00,22.20,1.64,111.71,4/17/2019,172.18,10.98095466,27.11697061,129.2577,Undervalued,3.77,2.91
MCO,208.79,-44.08,-11.4,8.29,24.94,97.47%,44.83%,Finance - Misc Services,Finance,39087156000.00,39.09,2.24,164.19,3/23/2020,287.25,21.3611763,27.31418625,206.7526,Overvalued,-2.04,-0.99
MDLZ,50.79,-4,2.9,2.47,20.4,35.80%,-24.46%,Food - Misc & Diversified,Consumer Staples,72779176000.00,72.78,1.14,41.19,3/23/2020,59.96,18.90135854,15.29352902,50.388,Overvalued,-0.40,-0.80
MDT,86.27,-14.13,-3.62,5.55,15.52,10.70%,79.69%,Medical Products,Medical,115616120000.00,115.62,2.16,72.13,3/18/2020,122.15,16.39040223,29.37372084,86.136,Overvalued,-0.13,-0.16
WRB,49.48,-18.48,-2.39,3.32,15.27,47.23%,10.85%,Insurance - Proprty & Casualty,Finance,9075720000.00,9.08,0.44,43.05,3/23/2020,79.92,12.99514956,38.08808809,50.6964,Undervalued,1.22,2.40
AVY,93.61,-24.35,-6.7,6.59,14.55,73.22%,11.69%,Office Supply & Forms,Industrial Products,7797338000.00,7.80,2.32,76.96,3/23/2020,141.09,17.78656126,33.65227869,95.8845,Undervalued,2.27,2.37
PVH,30.99,-40.94,-7.01,9.5,3.34,-71.92%,17.96%,Textile - Apparel,Consumer Staples,2260969000.00,2.26,0.15,28.4,3/23/2020,134.24,8.357534689,76.91448153,31.73,Undervalued,0.74,2.33
MKC,146.88,-3.02,14.59,5.35,27.35,88.91%,26.02%,Food - Misc & Diversified,Consumer Staples,19522262000.00,19.52,2.48,112.22,3/23/2020,174.58,23.59749455,15.86665139,146.3225,Overvalued,-0.56,-0.38
MKTX,387.27,35.69,44.49,5.4,64.31,339.73%,94.60%,Securities Exchanges,Finance,14686053000.00,14.69,2.4,241.12,4/4/2019,421.45,37.73852868,8.110096097,347.274,Overvalued,-40.00,-11.52
MLM,169.51,-69.43,-11.71,9.74,18.52,22.35%,60.22%,Building - CMT & CNT & AG,Construction,10543352000.00,10.54,2.2,135.08,3/18/2020,281.82,20.31148605,39.85167838,180.3848,Undervalued,10.87,6.03
WM,89.02,-23.69,-6.28,4.43,20.57,61.44%,10.42%,Waste Removal Svcs,Business Services,37711276000.00,37.71,2.18,85.34,3/25/2020,126.79,4.133902494,29.78941557,91.1251,Undervalued,2.11,2.31
MMM,133.79,-11.45,0.55,8.96,15.39,-19.92%,0.99%,Conglomerates - Div Operations,Conglomerates,76936072000.00,76.94,5.88,114.04,3/23/2020,219.75,14.76194035,39.11717861,137.8944,Undervalued,4.10,2.98
ABBV,73.37,-14.2,0.7,8.94,8.4,18.34%,66.66%,Large Cap Pharma,Medical,108343504000.00,108.34,4.72,62.55,3/23/2020,97.86,14.74717187,25.0255467,75.096,Undervalued,1.73,2.30
MO,37.41,-4.49,0.77,4.1,8.83,-28.76%,2.40%,Tobacco,Consumer Staples,69521504000.00,69.52,3.36,30.95,3/23/2020,57.11,17.26811013,34.49483453,36.203,Overvalued,-1.21,-3.33
MOS,9.94,-7.07,0.04,0.16,61.38,-78.32%,-1.65%,Fertilizers,Basic Materials,3764914000.00,3.76,0.2,6.5,3/18/2020,28.01,34.60764588,64.51267404,9.8208,Overvalued,-0.12,-1.21
SCHW,33.6,-4.7,-0.01,2.72,12.64,9.45%,76.97%,Finance - Investment Brokers,Finance,43216852000.00,43.22,0.72,28,3/16/2020,51.65,16.66666667,34.94675702,34.3808,Undervalued,0.78,2.27
DTE,87.13,-25.89,-10.4,6.3,14.15,6.61%,2.99%,Utility - Electric Power,Utilities,16779670000.00,16.78,4.05,71.21,3/18/2020,135.67,18.27154826,35.77799071,89.145,Undervalued,2.02,2.26
MRO,3.65,-4.43,0.13,0.75,4.63,-87.49%,-53.32%,Oil - US Integrated,Oils-Energy,2904853000.00,2.90,0.2,3.02,4/1/2020,18.93,17.26027397,80.71843634,3.4725,Overvalued,-0.18,-5.11
JCI,25.47,-11.98,-0.47,2.15,12.12,-41.38%,131.80%,Protection - Safety,Industrial Products,19460276000.00,19.46,1.04,22.77,3/23/2020,44.82,10.60070671,43.17269076,26.058,Undervalued,0.59,2.26
MSCI,270.61,-38.04,-5.13,6.44,44.56,346.55%,56.30%,Business Software Services,Computers and Technology,23005906000.00,23.01,2.72,204.64,4/4/2019,335.43,24.37825653,19.32444921,286.9664,Undervalued,16.36,5.70
MSFT,153.83,-10.68,4.13,5.4,28.75,268.72%,44.93%,Computer - Software,Computers and Technology,1170038144000.00,1170.04,2.04,118.38,4/4/2019,190.7,23.04491972,19.33403251,155.25,Undervalued,1.42,0.91
MSI,126.62,-48.37,-8.45,7.43,17.55,102.49%,34.11%,Wireless Equipment,Computers and Technology,21722040000.00,21.72,2.56,120.77,3/23/2020,187.49,4.620123203,32.46573151,130.3965,Undervalued,3.78,2.90
NEM,47.15,-2.58,0.8,1.31,36.82,111.15%,33.57%,Mining - Misc,Basic Materials,38087208000.00,38.09,0.56,29.77,5/10/2019,52.49,36.86108165,10.17336636,48.2342,Undervalued,1.08,2.25
MTD,630.58,-100.47,-28.2,22.81,28.74,90.42%,21.02%,Industrial Scientific,Computers and Technology,15121940000.00,15.12,0,579.4,3/23/2020,873.51,8.11633734,27.81078637,655.5594,Undervalued,24.98,3.81
MU,41.22,-10.58,-2.26,2.31,17.79,47.11%,43.09%,Semi Memory,Computers and Technology,45844308000.00,45.84,0,31.13,3/18/2020,61.19,24.47840854,32.63605164,41.0949,Overvalued,-0.13,-0.30
MXIM,48.64,-7.24,1.08,2.17,22.01,38.30%,-5.68%,Semi Analog & Mixed,Computers and Technology,13103325000.00,13.10,1.92,41.93,3/17/2020,65.73,13.79523026,26.00030428,47.7617,Overvalued,-0.88,-1.84
CE,67.1,-27.55,-4.17,9.52,7.21,13.88%,-7.42%,Chemical - Specialty,Basic Materials,8022141000.00,8.02,2.48,52.7,3/18/2020,128.88,21.46050671,47.93606456,68.6392,Undervalued,1.54,2.24
NBL,6.18,-9.01,0.82,-0.34,0,-87.86%,-13.00%,Oil - US Exploration & Product,Oils-Energy,2997547000.00,3.00,0.48,2.73,3/18/2020,28.4,55.82524272,78.23943662,0,Overvalued,-6.18,#DIV/0!
NCLH,8.46,-25.16,-3.56,5.09,1.65,-84.48%,106.74%,Leisure & Recreation Services,Consumer Discretionary,1803697000.00,1.80,0,7.03,3/18/2020,59.78,16.90307329,85.84810974,8.3985,Overvalued,-0.06,-0.73
NDAQ,95.22,-14.85,2.44,5,18.79,88.26%,21.77%,Securities Exchanges,Finance,15712442000.00,15.71,1.88,71.66,3/23/2020,120.23,24.74270111,20.80179656,93.95,Overvalued,-1.27,-1.35
NEE,221.64,-43.51,-10.31,8.38,27.02,111.29%,12.83%,Utility - Electric Power,Utilities,108374424000.00,108.37,5.6,174.8,3/23/2020,283.35,21.13336943,21.7787189,226.4276,Undervalued,4.79,2.11
AMAT,42.28,-15.76,-2.77,3.22,13.43,87.91%,61.02%,Semi-Eqpt Wafer Fabrication,Computers and Technology,38825932000.00,38.83,0.84,36.64,3/18/2020,69.44,13.33964049,39.11290323,43.2446,Undervalued,0.96,2.23
NFLX,361.76,-7.01,4.64,4.13,89.61,457.08%,266.17%,Broadcast - Radio & TV,Consumer Discretionary,158742832000.00,158.74,0,252.28,9/24/2019,393.52,30.26315789,8.070746087,370.0893,Undervalued,8.33,2.25
D,69.55,-13.83,-3.52,4.23,16.8,-3.27%,33.26%,Utility - Electric Power,Utilities,58282904000.00,58.28,3.76,57.79,3/23/2020,90.89,16.90869878,23.47893058,71.064,Undervalued,1.51,2.13
TXN,99.98,-13.83,-0.52,5.12,19.93,73.28%,10.26%,Semi General,Computers and Technology,93378928000.00,93.38,3.6,93.09,3/16/2020,135.7,6.891378276,26.32277082,102.0416,Undervalued,2.06,2.02
PEG,44.36,-8.69,-0.12,3.28,13.8,6.46%,-7.44%,Utility - Electric Power,Utilities,22407434000.00,22.41,1.96,34.75,3/23/2020,63.88,21.66366096,30.55729493,45.264,Undervalued,0.90,2.00
TROW,95.19,-28.3,-3.24,8.06,12.05,17.55%,41.08%,Finance - Investment Mgmt,Finance,22468744000.00,22.47,3.6,82.51,3/23/2020,139.82,13.32072697,31.91961093,97.123,Undervalued,1.93,1.99
NOC,313.61,-15.77,1.46,21.22,14.81,89.66%,41.13%,Aerospace - Defense,Aerospace,52572636000.00,52.57,5.28,263.31,3/23/2020,385.01,16.03902937,18.54497286,314.2682,Undervalued,0.66,0.21
NOV,9.85,-9.29,-0.21,-0.72,0,-81.90%,-60.45%,Oil Field Machinery & Equip,Oils-Energy,3801578000.00,3.80,0.2,8,3/18/2020,29.37,18.78172589,66.46237657,0,Overvalued,-9.85,#DIV/0!
NOW,249.57,-80.06,-24.43,0.57,454.39,203.10%,406.98%,IT Services,Computers and Technology,47368388000.00,47.37,0,213.99,10/23/2019,362.95,14.25652122,31.2384626,259.0023,Undervalued,9.43,3.64
CTSH,43.4,-16.21,-3.26,4,11.07,-30.89%,63.53%,Business Software Services,Computers and Technology,23810848000.00,23.81,0.88,40.01,3/23/2020,74.78,7.811059908,41.96309174,44.28,Undervalued,0.88,1.99
NSC,142.32,-34.54,-1.04,10.34,13.9,33.82%,-2.82%,Transportation - Rail,Transportation,39483128000.00,39.48,3.76,112.62,3/23/2020,219.88,20.86846543,35.2737857,143.726,Undervalued,1.41,0.98
TGT,92.57,-13.27,-2.17,6.4,14.74,10.77%,7.57%,Retail - Discount,Retail-Wholesale,46374052000.00,46.37,2.64,70.03,5/14/2019,130.24,24.34914119,28.9235258,94.336,Undervalued,1.77,1.87
NTRS,77.03,-6.41,3.05,6.62,11.62,8.71%,52.80%,Banks - Major Regional,Finance,16119835000.00,16.12,2.8,60.67,3/23/2020,110.48,21.23847851,30.27697321,76.9244,Overvalued,-0.11,-0.14
CSCO,39.06,-0.98,0.24,2.95,13.49,39.30%,10.10%,Computer - Networks,Computers and Technology,165648768000.00,165.65,1.44,32.4,3/16/2020,58.26,17.05069124,32.95571576,39.7955,Undervalued,0.74,1.85
NVDA,243.91,-21.98,-8.82,4.58,55.78,971.66%,133.22%,Semi General,Computers and Technology,149391472000.00,149.39,0.64,132.6,6/3/2019,316.32,45.63568529,22.89137582,255.4724,Undervalued,11.56,4.53
NVR,2362.94,-1480.9,-508.68,221.25,10.71,75.70%,66.24%,Building - Residential & Comm,Construction,8714499000.00,8.71,0,2043.01,3/18/2020,4071.13,13.53948894,41.95862083,2369.5875,Undervalued,6.65,0.28
MAS,32.41,-10.76,-2.24,2.54,13,21.98%,-21.29%,Building & Construction - Misc,Construction,9001391000.00,9.00,0.54,27.04,3/23/2020,50.06,16.5689602,35.25769077,33.02,Undervalued,0.61,1.85
NWS,8.24,-3.85,-0.18,0.33,24.76,-47.62%,17.49%,Movie & TV Production & Dist,Consumer Discretionary,4847304000.00,4.85,0.2,7.88,4/2/2020,15.36,4.368932039,46.35416667,8.1708,Overvalued,-0.07,-0.85
ALB,52.7,-30.09,-2.32,6.04,8.88,-10.30%,46.77%,Chemical - Diversified,Basic Materials,5603012000.00,5.60,1.54,48.89,3/23/2020,99.4,7.229601518,46.98189135,53.6352,Undervalued,0.94,1.74
O,43.6,-31,-13.3,1.4,13.7,-11.94%,59.78%,REIT - Equity Trust Retail,Finance,14941806000.00,14.94,2.8,38,3/19/2020,84.92,12.8440367,48.65756006,19.18,Overvalued,-24.42,-127.32
ODFL,122.51,-6.96,-5.82,5.1,24.35,154.73%,47.39%,Transportation - Truck,Transportation,14645579000.00,14.65,0.61,87.25,6/3/2019,151.47,28.78132397,19.11929755,124.185,Undervalued,1.68,1.35
DISCA,18.36,-7.88,-0.67,3.7,5.05,-44.43%,77.88%,Broadcast - Radio & TV,Consumer Discretionary,9644784000.00,9.64,0,17.12,3/23/2020,33.65,6.753812636,45.43833581,18.685,Undervalued,0.32,1.74
RCL,24.39,-53.8,-10.11,9.54,2.6,-69.98%,35.63%,Leisure & Recreation Services,Consumer Discretionary,5097510000.00,5.10,3.12,19.25,3/18/2020,135.32,21.07421074,81.97605675,24.804,Undervalued,0.41,1.67
FOXA,22.3,-8.69,-0.21,2.31,9.81,0.00%,0.00%,Broadcast - Radio & TV,Consumer Discretionary,13532352000.00,13.53,0.46,19.81,3/23/2020,39.74,11.16591928,43.88525415,22.6611,Undervalued,0.36,1.59
ORLY,295.38,-68.79,-18.05,17.89,16.96,34.26%,40.66%,Retail - Wholesale Auto Parts,Retail-Wholesale,21932554000.00,21.93,0,251.51,3/23/2020,454.31,14.85205498,34.98272105,303.4144,Undervalued,8.03,2.65
OXY,13,-19.99,1.39,1.62,7.88,-83.43%,5.60%,Oil - US Integrated,Oils-Energy,11637925000.00,11.64,3.16,9,3/18/2020,68.83,30.76923077,81.11288682,12.7656,Overvalued,-0.23,-1.84
PAYC,165.01,-117.29,-43.93,2.94,61.65,419.39%,388.75%,Internet - Software,Computers and Technology,9710178000.00,9.71,0,163.42,4/3/2020,342,0.963577965,51.75146199,181.251,Undervalued,16.24,8.96
NKE,78.86,-12.07,-4.37,2.96,27.07,57.77%,40.71%,Shoes and Related Apparel,Consumer Staples,122814352000.00,122.81,0.98,60,3/18/2020,105.62,23.91580015,25.33611059,80.1272,Undervalued,1.27,1.58
PKI,71.2,-15.02,-3.6,4.1,17.64,38.15%,28.90%,Industrial Scientific,Computers and Technology,7924845000.00,7.92,0.28,62.91,3/23/2020,103,11.64325843,30.87378641,72.324,Undervalued,1.12,1.55
